                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 3.5745,                 2.3666,                 3.2993,                0.23918,                0.01657,                0.03282,                0.00815,                 4.2105,                 2.8452,                 3.9104,               0.015243,               0.002243,               0.002243
                     12,                 3.5606,                 2.3246,                 3.2458,                0.19041,                0.02762,                0.04263,                0.01334,                 4.0752,                  2.734,                 3.6132,               0.006974,               0.001974,               0.001974
                     13,                 3.5649,                 2.2461,                 3.2285,                0.29494,                0.07735,                0.06709,                0.01924,                  3.967,                 2.6497,                 3.4959,              0.0015777,              0.0015777,              0.0015777
                     14,                 3.5031,                 2.2408,                 3.1817,                0.24685,                0.10503,                0.06863,                0.01954,                 3.9518,                 2.5661,                    3.5,              0.0010775,              0.0010775,              0.0010775
                     15,                 3.4289,                 2.2708,                 3.1984,                0.21675,                0.11602,                0.06278,                0.02016,                 3.9606,                 2.5012,                 3.5384,             0.00057735,             0.00057735,             0.00057735
                      1,                 4.8317,                 4.9054,                 5.8978,                0.00139,                 0.0221,                0.00082,                0.00023,                 4.0036,                 4.0875,                 5.1377,               0.093587,              0.0005873,              0.0005873
                      2,                 4.8692,                 4.3065,                 5.0523,                0.00139,                 0.0221,                0.00082,                0.00023,                 4.3756,                 3.9367,                 4.7077,               0.086175,              0.0011752,              0.0011752
                      3,                 4.9505,                 4.2991,                 4.8266,                0.00139,                 0.0221,                0.00082,                0.00023,                  4.494,                  3.906,                 4.5975,               0.078674,              0.0016743,              0.0016743
                      4,                   4.61,                 4.0537,                 4.3405,                0.00139,                 0.0221,                0.00082,                0.00023,                 4.6208,                   3.96,                 4.5768,               0.071085,              0.0020845,              0.0020845
                      5,                 4.1245,                 3.7914,                 4.1722,                0.00045,                0.02762,                0.00027,                  8e-05,                  4.716,                 4.0139,                 4.5529,               0.063406,              0.0024059,              0.0024059
                      6,                 3.5661,                 3.7415,                 3.8641,                0.00036,                 0.0221,                0.00024,                  8e-05,                 4.7631,                 4.3993,                 4.5892,               0.055638,              0.0026385,              0.0026385
                      7,                 3.7041,                 3.6419,                 4.0611,                0.00027,                0.01657,                0.00017,                  7e-05,                 4.7432,                    4.4,                 4.5465,               0.047782,              0.0027822,              0.0027822
                      8,                 3.4592,                 3.3581,                 3.7503,                0.00099,                0.06077,                0.00067,                0.00033,                 4.6883,                 4.6132,                 4.4984,               0.039837,              0.0028371,              0.0028371
                      9,                 3.5909,                 3.2288,                 3.7578,                0.00083,                0.04972,                0.00049,                 0.0002,                 4.4493,                 4.5426,                 4.4213,               0.031803,              0.0028031,              0.0028031
                     10,                 3.3787,                 3.2524,                 3.6062,                0.00133,                0.04972,                0.00074,                0.00022,                 4.2663,                  4.495,                 4.2633,                0.02368,              0.0026804,              0.0026804
                     11,                 3.4166,                 3.1937,                 3.6306,                0.27848,                0.02762,                0.01925,                0.00571,                 3.6233,                 4.1781,                 3.8496,               0.015469,              0.0024687,              0.0024687
                     12,                  3.456,                 3.0715,                  3.568,                0.15342,                 0.0442,                0.01779,                0.00525,                 3.5838,                 3.9944,                 3.8075,              0.0071683,              0.0021683,              0.0021683
                     13,                 3.3746,                 3.0524,                 3.5685,                0.08426,                0.04972,                0.02315,                0.00661,                 3.5384,                 3.8648,                 3.7698,              0.0017271,              0.0017271,              0.0017271
                     14,                 3.2805,                 2.9934,                 3.4727,                0.09918,                 0.1105,                0.02777,                0.00881,                 3.5308,                 3.6667,                 3.7523,              0.0011719,              0.0011719,              0.0011719
                     15,                 3.1891,                 2.9637,                 3.4484,                0.12304,                0.10497,                0.04446,                0.01397,                 3.5203,                 3.5087,                 3.7563,             0.00061665,             0.00061665,             0.00061665
                      1,                 4.0084,                 3.6215,                 6.3049,                0.00135,                 0.0221,                 0.0009,                0.00039,                 3.2401,                 2.9752,                 5.4491,               0.093615,              0.0006146,              0.0006146
                      2,                 3.8812,                 3.1806,                 5.3655,                0.00135,                 0.0221,                 0.0009,                0.00039,                 3.5561,                 2.8769,                 4.9699,                0.08623,              0.0012302,              0.0012302
                      3,                 3.7069,                 3.2124,                 4.9592,                0.00135,                 0.0221,                 0.0009,                0.00039,                 3.6627,                 2.9368,                 4.8653,               0.078753,              0.0017532,              0.0017532
                      4,                 3.7599,                 2.9708,                  4.667,                0.00045,                0.02762,                 0.0004,                0.00015,                 3.7803,                 2.9102,                 4.7516,               0.071184,              0.0021836,              0.0021836
                      5,                 3.3659,                 2.7075,                 4.3745,                0.00054,                0.03315,                0.00034,                0.00012,                 3.8578,                 3.1157,                 4.6693,               0.063521,              0.0025214,              0.0025214
                      6,                 3.1651,                 2.6551,                 4.1814,                 0.0009,                0.05525,                 0.0028,                0.00044,                 3.8461,                 3.1627,                 4.4989,               0.055767,              0.0027666,              0.0027666
                      7,                  3.072,                 2.7339,                 4.2316,                0.00117,                0.07182,                0.00596,                0.00124,                 3.8492,                 3.1569,                 4.4584,               0.047919,              0.0029192,              0.0029192
                      8,                 2.8737,                 2.6054,                 3.9411,                0.00135,                0.08287,                0.00249,                0.00072,                 3.6361,                 3.1449,                 4.3488,               0.039979,              0.0029793,              0.0029793
                      9,                 2.8964,                 2.4773,                 3.7626,                0.00189,                0.11602,                0.00548,                0.00182,                 3.4954,                 3.0654,                 4.2543,               0.031947,              0.0029467,              0.0029467
                     10,                 2.8694,                 2.4058,                 3.8552,                0.02096,                0.03867,                0.00824,                0.00297,                 3.4154,                 3.0096,                 4.1777,               0.023822,              0.0028215,              0.0028215
                     11,                 2.7132,                  2.366,                 3.7661,                0.16561,                0.01657,                0.01121,                0.00432,                 3.1871,                 2.9952,                 4.1328,               0.015604,              0.0026038,              0.0026038
                     12,                 2.7052,                 2.3338,                 3.6428,                0.14779,                0.03867,                0.02898,                0.00931,                 3.2059,                 2.8819,                 4.0786,              0.0072934,              0.0022934,              0.0022934
                     13,                 2.6224,                 2.2608,                 3.6067,                0.14406,                0.09392,                0.03396,                 0.0103,                 3.2881,                 2.7483,                 4.1243,              0.0018354,              0.0018354,              0.0018354
                     14,                 2.5869,                  2.225,                 3.6121,                0.14094,                0.08287,                 0.0367,                0.01134,                 3.3156,                 2.6987,                 4.1433,              0.0012567,              0.0012567,              0.0012567
                     15,                 2.6036,                  2.305,                  3.631,                0.15275,                0.07735,                0.04332,                0.01261,                 3.3005,                 2.6463,                 4.1172,             0.00067802,             0.00067802,             0.00067802
                      1,                 5.2149,                 3.5104,                 6.0446,                0.00054,                0.03315,                0.00038,                0.00011,                 4.2913,                  2.779,                 5.3391,               0.093525,               0.000525,               0.000525
