                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.2273,                 0.8071,                  1.176,                0.70804,                0.47514,                0.54435,                 0.2124,                 2.2743,                 2.9948,                 2.0381,              0.0012891,              0.0012891,              0.0012891
                     93,                 1.2435,                0.84742,                 1.1833,                0.73144,                0.42541,                0.52521,                0.22556,                 2.3028,                  3.452,                 2.1019,              0.0012813,              0.0012813,              0.0012813
                     94,                 1.1838,                0.80901,                 1.1918,                0.60084,                0.43245,                0.49537,                0.20312,                 2.4018,                 2.7791,                 2.1473,              0.0012735,              0.0012735,              0.0012735
                     95,                 1.2494,                0.80776,                 1.2289,                0.57393,                0.46409,                0.49797,                0.20714,                 2.3092,                 2.3299,                 2.1033,              0.0012657,              0.0012657,              0.0012657
                     96,                 1.2258,                0.79437,                 1.2222,                0.63048,                0.45304,                0.48441,                0.20422,                 2.3317,                 2.3748,                  2.165,              0.0012579,              0.0012579,              0.0012579
                     97,                 1.2083,                0.76484,                 1.2567,                0.70329,                0.45304,                0.51089,                0.21759,                 2.2857,                 2.3687,                 2.1403,              0.0012501,              0.0012501,              0.0012501
                     98,                 1.2732,                0.78165,                 1.1725,                0.57845,                0.46961,                0.49872,                0.21621,                 2.2552,                 2.2418,                 2.0837,              0.0012423,              0.0012423,              0.0012423
                     99,                 1.2257,                0.79749,                 1.1888,                0.65961,                0.48066,                 0.5318,                0.22834,                 2.1638,                 2.0926,                 2.0439,              0.0012345,              0.0012345,              0.0012345
                    100,                 1.2462,                0.84372,                 1.2474,                0.60258,                0.55801,                0.55431,                0.22387,                 2.1295,                 1.9478,                 2.0007,              0.0012266,              0.0012266,              0.0012266
                    101,                 1.2292,                0.79627,                  1.215,                0.66264,                0.53175,                0.55575,                0.22915,                 2.1873,                 2.0469,                 2.0476,              0.0012188,              0.0012188,              0.0012188
