fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.00028,0.01047,0.01048,0.9522,0.00048,2.92712,0.61435,6.14076,0.49392,1.47027,0.01702,0.59214,0.37478,0.0,0.10222,0.47386,0.0,0.0,0.0,0.4833,0.0,0.83186,0.0,0.0
0.0004,0.00969,0.01157,0.94038,0.00051,2.89508,0.66549,6.07152,0.4666,1.62293,0.01702,0.60983,0.40983,0.0,0.10176,0.5,0.0,0.0,0.0,0.51373,0.0,0.98374,0.0,0.0
0.00028,0.01001,0.01296,0.86799,0.00049,3.30918,0.93161,6.14076,0.49186,1.61751,0.01725,0.66634,0.40284,0.0,0.10692,0.4136,0.0,0.0,0.0,0.53172,0.0,0.91227,0.0,0.0
0.00027,0.00969,0.01168,0.87477,0.00051,3.21967,0.58707,5.53671,0.37106,1.25948,0.01671,0.70585,0.38436,0.0,0.10436,0.5,0.0,0.0,0.0,0.51373,0.0,0.87324,0.0,0.0
0.00042,0.00956,0.0114,0.90912,0.00049,2.85677,0.63681,6.37824,0.41379,1.55667,0.01702,0.63419,0.39689,0.0,0.10223,0.52345,0.0,0.0,0.0,0.48102,0.0,1.0,0.0,0.0
0.00025,0.00973,0.0098,0.91139,0.00052,2.3928,0.74189,6.37032,0.4578,1.55147,0.01532,0.59155,0.50583,0.0,0.09879,0.49178,0.0,0.0,0.0,0.57038,0.0,0.91021,0.0,0.0
0.00049,0.00947,0.00962,0.88196,0.00041,2.92712,0.66549,6.14076,0.48148,1.71443,0.01702,0.59214,0.38882,0.0,0.0962,0.506,0.0,0.0,0.0,0.50678,0.0,1.0,0.0,0.0
0.00112,0.00977,0.01164,0.92936,0.00049,2.89345,0.66549,6.20314,0.4666,1.61751,0.01702,0.58211,0.41736,0.0,0.1018,0.5157,0.0,0.0,0.0,0.51373,0.0,1.0,0.0,0.0
0.00033,0.01007,0.01212,0.92936,0.0005,2.82119,0.57599,6.21202,0.48734,1.61751,0.01634,0.54926,0.40487,0.0,0.09294,0.55062,0.0,0.0,0.0,0.51373,0.0,0.91384,0.0,0.0
0.00015,0.00962,0.00996,0.89494,0.0004,3.10274,0.65229,6.09146,0.46915,1.81864,0.01689,0.58437,0.36013,0.0,0.09621,0.56183,0.0,0.0,0.0,0.46072,0.0,0.94701,0.0,0.0
0.00047,0.00973,0.0116,0.98,0.00051,2.77157,0.55793,7.34551,0.47026,1.54863,0.01649,0.59214,0.36371,0.0,0.08067,0.50414,0.0,0.0,0.0,0.4945,0.0,1.0,0.0,0.0
0.00014,0.00831,0.0116,0.98,0.0007,2.77157,0.55793,6.14224,0.56531,1.54863,0.01832,0.47487,0.44681,0.0,0.0912,0.45063,0.0,0.0,0.0,0.6041,0.0,0.80486,0.0,0.0
0.00036,0.00798,0.01164,0.94012,0.00049,2.95558,0.66549,6.91866,0.47289,1.27816,0.01683,0.59868,0.44788,0.0,0.10813,0.5157,0.0,0.0,0.0,0.5346,0.0,1.0,0.0,0.0
0.00025,0.00779,0.01334,0.96526,0.00049,2.54606,0.83789,5.00591,0.41487,2.2544,0.00955,0.58727,0.49526,0.0,0.1018,0.5157,0.0,0.0,0.0,0.59063,0.0,0.86716,0.0,0.0
0.00034,0.00849,0.01216,0.89088,0.00046,2.95829,0.67854,6.40919,0.4666,1.23664,0.01702,0.71021,0.41736,0.0,0.10683,0.49707,0.0,0.0,0.0,0.52532,0.0,1.0,0.0,0.0
0.00036,0.00965,0.01164,0.92047,0.00049,2.89345,0.68293,5.93538,0.46263,1.49773,0.0178,0.61168,0.42849,0.0,0.10443,0.56185,0.0,0.0,0.0,0.48719,0.0,1.0,0.0,0.0
0.0004,0.01156,0.01282,0.92936,0.00047,2.89345,0.65644,6.42852,0.51023,1.61751,0.01556,0.48984,0.41606,0.0,0.10616,0.53991,0.0,0.0,0.0,0.51373,0.0,1.0,0.0,0.0
0.00033,0.0102,0.01165,0.88196,0.00048,2.41586,0.70298,6.83365,0.55415,1.56843,0.01642,0.68243,0.39924,0.0,0.08531,0.48914,0.0,0.0,0.0,0.50678,0.0,1.0,0.0,0.0
0.0004,0.01128,0.01413,0.86182,0.00061,2.89345,0.52403,5.85095,0.51318,1.24612,0.01882,0.58211,0.50039,0.0,0.1018,0.4671,0.0,0.0,0.0,0.51373,0.0,1.0,0.0,0.0
0.0005,0.01026,0.01213,0.9439,0.00048,2.88183,0.69645,6.05583,0.44755,1.59045,0.01629,0.59502,0.42326,0.0,0.10268,0.50105,0.0,0.0,0.0,0.51373,0.0,0.98706,0.0,0.0
0.00036,0.0092,0.01099,0.91995,0.00044,3.25173,0.63904,5.64724,0.52289,1.74606,0.01645,0.56939,0.41736,0.0,0.11337,0.47161,0.0,0.0,0.0,0.50349,0.0,1.0,0.0,0.0
0.00034,0.01067,0.00953,0.98,0.00049,3.35677,0.71263,5.32844,0.40017,1.61751,0.01961,0.58211,0.41053,0.0,0.1018,0.69182,0.0,0.0,0.0,0.33996,0.0,1.0,0.0,0.0
0.00041,0.00977,0.01169,0.93153,0.00049,2.8869,0.66697,6.20314,0.46192,1.61758,0.01702,0.57561,0.41543,0.0,0.1018,0.51406,0.0,0.0,0.0,0.50855,0.0,0.99745,0.0,0.0
0.00038,0.00973,0.01223,0.93486,0.00049,2.94058,0.55405,6.81713,0.4666,1.60685,0.01863,0.59214,0.4499,0.0,0.09239,0.5,0.0,0.0,0.0,0.48746,0.0,1.0,0.0,0.0
0.0004,0.00977,0.01442,0.88063,0.0005,2.77416,0.78586,6.20314,0.46088,1.64082,0.0246,0.58211,0.36114,0.0,0.08778,0.54032,0.0,0.0,0.0,0.59312,0.0,1.0,0.0,0.0
0.00028,0.01127,0.01485,0.92936,0.00058,2.61183,0.61286,5.70692,0.53833,1.93613,0.01922,0.41978,0.41397,0.0,0.08494,0.50223,0.0,0.0,0.0,0.48904,0.0,0.91572,0.0,0.0
0.00037,0.00927,0.01024,0.93606,0.0005,2.30467,0.66549,5.92505,0.46035,1.59492,0.01702,0.62522,0.44567,0.0,0.08531,0.5157,0.0,0.0,0.0,0.49437,0.0,1.0,0.0,0.0
0.00024,0.00938,0.01059,0.94698,0.00049,2.92712,0.4607,8.46856,0.4666,1.55206,0.01892,0.76057,0.36359,0.0,0.10516,0.35108,0.0,0.0,0.0,0.50926,0.0,1.0,0.0,0.0
0.00299,0.01139,0.00966,0.92713,0.00067,2.664,0.49461,6.36388,0.4666,2.13277,0.01391,0.48972,0.42326,0.0,0.08924,0.62399,0.0,0.0,0.0,0.40974,0.0,0.94363,0.0,0.0
0.0062,0.01163,0.00939,0.92419,0.00067,2.67448,0.49407,6.49154,0.49838,2.11091,0.0138,0.49746,0.41773,0.0,0.09058,0.63096,0.0,0.0,0.0,0.4222,0.0,0.94959,0.0,0.0
0.01985,0.01141,0.01085,0.92713,0.00072,2.08921,0.34587,6.36388,0.20279,2.65615,0.01391,0.42547,0.37975,0.0,0.0676,0.61177,0.0,0.0,0.0,0.50544,0.0,0.94363,0.0,0.0
0.02741,0.01167,0.00939,0.92643,0.00067,2.71612,0.48458,6.49154,0.50778,2.14496,0.01384,0.48923,0.41912,0.0,0.09057,0.63558,0.0,0.0,0.0,0.42272,0.0,0.9383,0.0,0.0
0.00606,0.01141,0.01021,0.92713,0.0007,2.36081,0.38379,5.52503,0.2,2.66528,0.0153,0.38156,0.35019,0.0,0.07883,0.71358,0.0,0.0,0.0,0.61445,0.0,0.90565,0.0,0.0
0.0041,0.01141,0.00856,0.90744,0.00057,1.9194,0.31727,5.87861,0.20279,2.9313,0.01198,0.30894,0.37975,0.0,0.08199,0.52437,0.0,0.0,0.0,0.47778,0.0,0.87702,0.0,0.0
0.01032,0.01257,0.01111,0.91518,0.00075,2.40821,0.34587,6.36388,0.2,2.38609,0.01391,0.42893,0.35115,0.0,0.07333,0.61984,0.0,0.0,0.0,0.56079,0.0,0.82639,0.0,0.0
0.02808,0.01141,0.00975,0.90817,0.00073,2.11269,0.37143,6.36388,0.20279,2.65615,0.01391,0.42547,0.37975,0.0,0.06545,0.61177,0.0,0.0,0.0,0.46408,0.0,0.94194,0.0,0.0
0.02118,0.01053,0.01017,0.89959,0.00073,2.14983,0.36486,6.4443,0.20139,2.67083,0.01344,0.43082,0.38303,0.0,0.06698,0.60845,0.0,0.0,0.0,0.47075,0.0,0.93183,0.0,0.0
0.01161,0.0104,0.01015,0.90003,0.00073,2.14335,0.36885,6.4443,0.20077,2.69436,0.01319,0.42498,0.38438,0.0,0.06698,0.60845,0.0,0.0,0.0,0.46815,0.0,0.93183,0.0,0.0
0.00252,0.00971,0.01017,0.89959,0.00073,2.14983,0.36486,6.4443,0.2,2.67083,0.01418,0.40023,0.43007,0.0,0.06202,0.60261,0.0,0.0,0.0,0.42701,0.0,0.9578,0.0,0.0
0.02218,0.01114,0.00995,0.90967,0.00071,2.09969,0.37315,6.20329,0.20279,2.65615,0.01391,0.41934,0.37901,0.0,0.06441,0.62944,0.0,0.0,0.0,0.46273,0.0,0.94194,0.0,0.0
0.04793,0.0114,0.00955,0.90967,0.00071,2.24237,0.38539,6.73943,0.21052,2.46445,0.01337,0.40739,0.35725,0.0,0.06658,0.60685,0.0,0.0,0.0,0.46092,0.0,0.94427,0.0,0.0
0.00943,0.01118,0.00967,0.90655,0.0007,2.22094,0.39269,6.82871,0.21331,2.46001,0.01331,0.40163,0.35747,0.0,0.06658,0.60269,0.0,0.0,0.0,0.46092,0.0,0.94054,0.0,0.0
0.00578,0.01178,0.00924,0.92649,0.00073,2.24061,0.39046,6.33697,0.20279,2.61755,0.01375,0.41516,0.38854,0.0,0.06554,0.58022,0.0,0.0,0.0,0.47607,0.0,0.99692,0.0,0.0
0.02185,0.01288,0.00956,0.90466,0.0006,2.24237,0.38539,5.98446,0.2,2.59607,0.01337,0.30664,0.34814,0.0,0.07034,0.61503,0.0,0.0,0.0,0.5004,0.0,0.94427,0.0,0.0
0.01305,0.01326,0.00751,0.90967,0.00072,2.43998,0.40422,6.70534,0.22192,2.47781,0.01274,0.40193,0.30726,0.0,0.07068,0.5426,0.0,0.0,0.0,0.42795,0.0,0.97195,0.0,0.0
0.01672,0.01143,0.00907,0.91307,0.00071,2.12933,0.38539,6.67912,0.20815,2.49365,0.01294,0.40739,0.37286,0.0,0.06658,0.57349,0.0,0.0,0.0,0.44806,0.0,0.95802,0.0,0.0
0.02399,0.01139,0.00957,0.87224,0.00074,2.23909,0.39142,5.4873,0.2,2.65615,0.01471,0.46859,0.38643,0.0,0.06807,0.55531,0.0,0.0,0.0,0.38646,0.0,0.94194,0.0,0.0
0.02216,0.01168,0.00939,0.92643,0.00067,2.64825,0.48227,6.35925,0.50778,2.12019,0.01345,0.49572,0.41554,0.0,0.09057,0.61288,0.0,0.0,0.0,0.42543,0.0,0.93894,0.0,0.0
0.03384,0.01128,0.00965,0.86786,0.00073,2.24095,0.39446,5.83244,0.2039,2.71501,0.01471,0.48896,0.37016,0.0,0.06678,0.58646,0.0,0.0,0.0,0.42373,0.0,0.94194,0.0,0.0
0.00478,0.01207,0.00953,0.92768,0.00078,2.46117,0.39696,6.26453,0.25991,3.03245,0.01088,0.39803,0.39551,0.0,0.07108,0.62977,0.0,0.0,0.0,0.4335,0.0,0.7719,0.0,0.0
0.00765,0.01043,0.0103,0.89426,0.00071,2.50151,0.39482,6.84529,0.21026,2.26019,0.01337,0.40757,0.33078,0.0,0.0652,0.60685,0.0,0.0,0.0,0.3724,0.0,0.82619,0.0,0.0
0.02097,0.01144,0.00957,0.909,0.00072,2.25874,0.38882,6.66878,0.21006,2.46445,0.01334,0.40872,0.3557,0.0,0.06658,0.60596,0.0,0.0,0.0,0.46113,0.0,0.93895,0.0,0.0
0.0096,0.01043,0.01041,0.8452,0.0009,2.24237,0.50517,6.73943,0.21914,1.84783,0.01401,0.40739,0.35045,0.0,0.04982,0.76832,0.0,0.0,0.0,0.57314,0.0,1.0,0.0,0.0
0.00487,0.0114,0.00921,0.90967,0.00072,2.28857,0.4047,6.73603,0.21208,2.46445,0.01337,0.40306,0.35725,0.0,0.06658,0.60685,0.0,0.0,0.0,0.46236,0.0,0.98038,0.0,0.0
0.02119,0.01167,0.00738,0.91321,0.00047,2.61373,0.4409,6.49154,0.48545,2.78257,0.01384,0.62951,0.43487,0.0,0.09057,0.65775,0.0,0.0,0.0,0.46758,0.0,0.9383,0.0,0.0
0.02905,0.01164,0.00887,0.89093,0.00071,2.23327,0.37103,6.43151,0.22036,2.12614,0.01036,0.44459,0.35595,0.0,0.06658,0.58423,0.0,0.0,0.0,0.46092,0.0,0.91625,0.0,0.0
0.02979,0.01102,0.00965,0.83942,0.00071,2.24095,0.3764,5.18217,0.21147,2.71501,0.01644,0.48896,0.35423,0.0,0.06794,0.59019,0.0,0.0,0.0,0.39723,0.0,1.0,0.0,0.0
0.0177,0.0114,0.00955,0.90951,0.00071,2.24504,0.38018,6.67656,0.21055,2.46303,0.01342,0.41222,0.36136,0.0,0.06685,0.61141,0.0,0.0,0.0,0.46092,0.0,0.93972,0.0,0.0
0.023,0.01032,0.00746,0.88623,0.00081,2.29693,0.38539,6.23474,0.21052,1.99178,0.01278,0.25382,0.38849,0.0,0.06925,0.73553,0.0,0.0,0.0,0.53863,0.0,0.94427,0.0,0.0
0.02254,0.01089,0.00938,0.90967,0.00071,2.14151,0.37638,6.28763,0.22257,2.45284,0.01337,0.40112,0.35725,0.0,0.06304,0.58581,0.0,0.0,0.0,0.44699,0.0,0.93965,0.0,0.0
0.02411,0.01107,0.00944,0.86055,0.00074,2.24095,0.40664,6.06541,0.21018,2.65818,0.01474,0.50261,0.38656,0.0,0.06396,0.59889,0.0,0.0,0.0,0.42373,0.0,0.96126,0.0,0.0
0.03607,0.00926,0.00955,0.90967,0.00071,2.24237,0.39177,7.04363,0.2,1.69134,0.0114,0.40739,0.35725,0.0,0.05985,0.62393,0.0,0.0,0.0,0.49665,0.0,1.0,0.0,0.0
0.01336,0.01362,0.01226,0.86098,0.00067,2.13423,0.41555,6.73943,0.2,2.03779,0.01337,0.35433,0.46507,0.0,0.06448,0.47745,0.0,0.0,0.0,0.46548,0.0,0.82142,0.0,0.0
0.00888,0.01201,0.0094,0.90241,0.00072,2.00904,0.34084,7.43323,0.2257,2.52775,0.01297,0.36893,0.35725,0.0,0.07543,0.59286,0.0,0.0,0.0,0.40637,0.0,0.87973,0.0,0.0
0.0354,0.00932,0.00957,0.91763,0.00059,2.24237,0.32505,8.0489,0.20853,1.68354,0.01193,0.45893,0.32396,0.0,0.05872,0.59474,0.0,0.0,0.0,0.41288,0.0,1.0,0.0,0.0
0.01979,0.01062,0.00929,0.92002,0.00077,2.51904,0.36942,6.73943,0.2,2.12429,0.01135,0.45364,0.38718,0.0,0.06504,0.71689,0.0,0.0,0.0,0.41059,0.0,1.0,0.0,0.0
0.03337,0.01399,0.01093,0.88644,0.00058,1.75842,0.329,5.55401,0.2,2.71501,0.01264,0.58547,0.37808,0.0,0.06753,0.65718,0.0,0.0,0.0,0.42373,0.0,0.9866,0.0,0.0
0.01201,0.01438,0.00957,0.88207,0.00057,2.15194,0.38204,6.00019,0.2,2.51356,0.01433,0.37514,0.34371,0.0,0.06656,0.58615,0.0,0.0,0.0,0.50595,0.0,0.91071,0.0,0.0
0.02358,0.00967,0.01018,0.93081,0.0007,2.24237,0.39931,6.68378,0.2,2.59527,0.01477,0.40739,0.37632,0.0,0.06723,0.60685,0.0,0.0,0.0,0.46092,0.0,0.94427,0.0,0.0
0.02332,0.01143,0.00955,0.93347,0.00068,2.24237,0.38803,6.93493,0.21593,2.52444,0.01337,0.40739,0.38519,0.0,0.07577,0.61719,0.0,0.0,0.0,0.46972,0.0,0.84234,0.0,0.0
0.02619,0.01359,0.01264,0.92668,0.00071,2.82422,0.3793,6.91681,0.2,2.46445,0.01337,0.43008,0.31851,0.0,0.08351,0.61538,0.0,0.0,0.0,0.43898,0.0,0.738,0.0,0.0
0.01878,0.01093,0.00954,0.90336,0.00068,2.10963,0.37464,6.8691,0.2,2.46445,0.01346,0.37325,0.35725,0.0,0.06611,0.60685,0.0,0.0,0.0,0.45419,0.0,0.96539,0.0,0.0
0.00315,0.01079,0.01019,0.90432,0.0007,2.39181,0.38848,6.66846,0.2,2.47088,0.01302,0.39916,0.37203,0.0,0.06918,0.62868,0.0,0.0,0.0,0.44589,0.0,0.90799,0.0,0.0
0.00996,0.01048,0.00957,0.9362,0.00065,2.6989,0.42137,6.73943,0.26121,2.43055,0.01374,0.38756,0.32464,0.0,0.06455,0.60033,0.0,0.0,0.0,0.4409,0.0,1.0,0.0,0.0
0.03239,0.0114,0.00866,0.90966,0.00071,2.24237,0.42377,6.73943,0.20204,2.46445,0.01337,0.42819,0.35725,0.0,0.07288,0.60685,0.0,0.0,0.0,0.46352,0.0,0.89803,0.0,0.0
0.0057,0.00979,0.00956,0.90787,0.00071,2.24237,0.39177,7.04363,0.2,1.6445,0.01131,0.40739,0.37221,0.0,0.06116,0.69539,0.0,0.0,0.0,0.51571,0.0,1.0,0.0,0.0
0.03175,0.0112,0.01076,0.83821,0.00083,2.24237,0.38539,7.38887,0.21184,2.37675,0.01337,0.40739,0.40125,0.0,0.06614,0.58923,0.0,0.0,0.0,0.39872,0.0,0.99492,0.0,0.0
0.02504,0.00953,0.01053,0.90967,0.00077,2.26781,0.39164,7.41917,0.20851,1.82583,0.011,0.45551,0.36669,0.0,0.05271,0.71227,0.0,0.0,0.0,0.52694,0.0,1.0,0.0,0.0
